,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,0.0,-1.0,12.0,3.0,-1.0,17.0,58.0,42.0,-1.0,84.0,7.0,58.0,26.0,-1.0,26.0,84.0,91.0,17.0,-1.0,58.0,77.0,-1.0,39.0,58.0,-1.0,82.0,75.0,-1.0,3.0,32.0,85.0
11,85.0,42.0,-1.0,26.0,84.0,-1.0,60.0,37.0,-1.0,85.0,0.0,84.0,58.0,-1.0,91.0,0.0,85.0,26.0,-1.0,85.0,26.0,91.0,17.0,85.0,-1.0,12.0,17.0,-1.0,84.0,5.0,-1.0
12,-1.0,26.0,85.0,-1.0,84.0,7.0,58.0,-1.0,17.0,0.0,-1.0,0.0,85.0,58.0,-1.0,7.0,35.0,-1.0,75.0,74.0,-1.0,17.0,58.0,17.0,-1.0,82.0,9.0,91.0,17.0,84.0,42.0
13,5.0,85.0,-1.0,42.0,58.0,-1.0,5.0,37.0,75.0,-1.0,12.0,85.0,-1.0,75.0,5.0,-1.0,17.0,85.0,32.0,-1.0,-1.0,3.0,85.0,26.0,58.0,26.0,-1.0,17.0,86.0,85.0,17.0
14,39.0,-1.0,17.0,91.0,-1.0,84.0,17.0,58.0,17.0,-1.0,85.0,0.0,26.0,12.0,91.0,-1.0,42.0,75.0,-1.0,85.0,39.0,84.0,-1.0,91.0,58.0,-1.0,26.0,9.0,84.0,-1.0,58.0
15,85.0,-1.0,17.0,84.0,-1.0,58.0,26.0,-1.0,86.0,84.0,17.0,58.0,-1.0,5.0,0.0,-1.0,84.0,12.0,58.0,-1.0,29.0,26.0,-1.0,3.0,42.0,-1.0,17.0,5.0,78.0,3.0,29.0
16,84.0,17.0,3.0,58.0,26.0,-1.0,75.0,86.0,74.0,84.0,-1.0,42.0,84.0,-1.0,17.0,58.0,17.0,-1.0,-1.0,-1.0,85.0,84.0,85.0,42.0,-1.0,85.0,75.0,75.0,26.0,-1.0,84.0
17,32.0,-1.0,17.0,58.0,-1.0,3.0,75.0,-1.0,85.0,35.0,-1.0,75.0,17.0,7.0,85.0,5.0,-1.0,85.0,52.0,-1.0,17.0,84.0,29.0,-1.0,17.0,84.0,58.0,-1.0,86.0,5.0,84.0
18,17.0,58.0,17.0,-1.0,0.0,17.0,-1.0,58.0,84.0,-1.0,32.0,58.0,-1.0,17.0,3.0,84.0,35.0,-1.0,17.0,3.0,-1.0,17.0,86.0,37.0,84.0,-1.0,3.0,58.0,85.0,-1.0,84.0
19,-1.0,84.0,58.0,17.0,-1.0,0.0,0.0,-1.0,3.0,58.0,35.0,-1.0,12.0,9.0,35.0,58.0,-1.0,17.0,84.0,85.0,17.0,3.0,91.0,-1.0,84.0,17.0,58.0,-1.0,17.0,84.0,-1.0
20,5.0,84.0,52.0,-1.0,26.0,58.0,32.0,-1.0,85.0,26.0,-1.0,17.0,9.0,26.0,3.0,-1.0,9.0,84.0,-1.0,17.0,85.0,58.0,-1.0,85.0,29.0,-1.0,0.0,17.0,-1.0,3.0,37.0
21,-1.0,3.0,26.0,-1.0,5.0,17.0,-1.0,26.0,84.0,5.0,29.0,-1.0,9.0,58.0,3.0,-1.0,26.0,85.0,-1.0,86.0,91.0,39.0,58.0,-1.0,91.0,7.0,7.0,58.0,-1.0,35.0,17.0
22,58.0,-1.0,39.0,17.0,-1.0,84.0,17.0,3.0,26.0,91.0,-1.0,37.0,17.0,-1.0,12.0,85.0,91.0,32.0,85.0,-1.0,0.0,3.0,7.0,58.0,-1.0,17.0,86.0,-1.0,60.0,17.0,-1.0
23,84.0,85.0,-1.0,84.0,3.0,-1.0,91.0,17.0,58.0,-1.0,58.0,17.0,-1.0,17.0,58.0,84.0,-1.0,37.0,17.0,-1.0,3.0,12.0,-1.0,85.0,26.0,84.0,-1.0,84.0,3.0,26.0,3.0
24,-1.0,5.0,3.0,-1.0,58.0,89.0,-1.0,91.0,17.0,85.0,-1.0,26.0,89.0,-1.0,91.0,37.0,-1.0,0.0,84.0,84.0,-1.0,91.0,17.0,84.0,12.0,26.0,85.0,-1.0,26.0,58.0,29.0
25,17.0,-1.0,84.0,85.0,17.0,-1.0,9.0,85.0,-1.0,17.0,84.0,85.0,84.0,-1.0,17.0,9.0,58.0,58.0,-1.0,39.0,58.0,-1.0,84.0,17.0,3.0,91.0,-1.0,39.0,58.0,-1.0,85.0
